# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
43 -0.706920 0.486207 0.513677 0.024319 0.617176 0.778780 0.112223 0.010635 -0.345478 0.396362 -0.850612 0.222385 0 0 0 1
44 -0.643509 0.584267 0.494495 0.023892 0.714635 0.690030 0.114688 0.011006 -0.274208 0.427187 -0.861579 0.222179 0 0 0 1
45 -0.665119 0.565605 0.487550 0.023588 0.690853 0.713907 0.114265 0.011348 -0.283437 0.412826 -0.865584 0.222043 0 0 0 1
46 -0.611460 0.632111 0.475973 0.023236 0.756272 0.643786 0.116575 0.011717 -0.232736 0.431246 -0.871699 0.221887 0 0 0 1
47 -0.641125 0.606604 0.470094 0.022939 0.727122 0.676065 0.119279 0.012090 -0.245459 0.418289 -0.874518 0.221765 0 0 0 1
48 -0.571634 0.678488 0.461396 0.022614 0.798449 0.589497 0.122353 0.012465 -0.188976 0.438343 -0.878716 0.221630 0 0 0 1
49 -0.651705 0.603954 0.458822 0.022348 0.720578 0.681827 0.126000 0.012846 -0.236739 0.412733 -0.879548 0.221529 0 0 0 1
50 -0.657491 0.604049 0.450364 0.022021 0.717234 0.684879 0.128506 0.013215 -0.230821 0.407509 -0.883547 0.221398 0 0 0 1
51 -0.700075 0.561499 0.441149 0.021684 0.669406 0.731125 0.131720 0.013590 -0.248574 0.387522 -0.887714 0.221266 0 0 0 1
52 -0.508236 0.747573 0.427584 0.021302 0.853590 0.503191 0.134835 0.013963 -0.114357 0.433510 -0.893862 0.221116 0 0 0 1
53 -0.778012 0.452444 0.435878 0.021137 0.551866 0.823737 0.129997 0.014256 -0.300233 0.341686 -0.890566 0.221061 0 0 0 1
54 -0.630817 0.652462 0.419955 0.020728 0.752367 0.646698 0.125394 0.014551 -0.189769 0.395061 -0.898839 0.220892 0 0 0 1
55 -0.720225 0.553275 0.418522 0.020463 0.648753 0.750859 0.123808 0.014876 -0.245751 0.360687 -0.899727 0.220799 0 0 0 1
56 -0.796095 0.444377 0.410805 0.020134 0.530343 0.839261 0.119899 0.015177 -0.291492 0.313319 -0.903804 0.220675 0 0 0 1
57 -0.652328 0.648349 0.392568 0.019700 0.734233 0.669077 0.115048 0.015470 -0.188067 0.363286 -0.912498 0.220507 0 0 0 1
58 -0.501444 0.769735 0.395045 0.019473 0.857310 0.503539 0.107080 0.015732 -0.116498 0.392371 -0.912399 0.220429 0 0 0 1
59 -0.766003 0.499946 0.404093 0.019313 0.580509 0.807994 0.100766 0.016011 -0.276128 0.311767 -0.909150 0.220384 0 0 0 1
60 -0.741678 0.538112 0.400434 0.019027 0.615692 0.783045 0.088102 0.016229 -0.266149 0.311887 -0.912079 0.220280 0 0 0 1
61 -0.807469 0.440332 0.392555 0.018701 0.507105 0.858111 0.080544 0.016498 -0.301390 0.264103 -0.916194 0.220166 0 0 0 1
62 -0.644864 0.663709 0.378997 0.018320 0.735045 0.674436 0.069591 0.016736 -0.209421 0.323457 -0.922776 0.220030 0 0 0 1
63 -0.685796 0.622209 0.377541 0.018062 0.689596 0.721380 0.063763 0.017026 -0.232677 0.304080 -0.923794 0.219953 0 0 0 1
64 -0.516219 0.771647 0.371587 0.017763 0.842505 0.535515 0.058368 0.017323 -0.153951 0.343195 -0.926560 0.219861 0 0 0 1
65 -0.686425 0.624663 0.372310 0.017534 0.689377 0.721934 0.059738 0.017690 -0.231467 0.297668 -0.926183 0.219803 0 0 0 1
66 -0.624298 0.693121 0.360324 0.017181 0.756791 0.650990 0.058970 0.018039 -0.193694 0.309505 -0.930960 0.219697 0 0 0 1
67 -0.512907 0.781304 0.355653 0.016907 0.846131 0.530037 0.055859 0.018367 -0.144866 0.329580 -0.932946 0.219622 0 0 0 1
68 -0.535116 0.766675 0.354765 0.016674 0.830897 0.553477 0.057189 0.018743 -0.152509 0.325376 -0.933204 0.219568 0 0 0 1
69 -0.568772 0.743090 0.352583 0.016435 0.805683 0.589586 0.057105 0.019109 -0.165444 0.316550 -0.934036 0.219512 0 0 0 1
70 -0.471260 0.811250 0.346100 0.016158 0.873868 0.482610 0.058656 0.019494 -0.119447 0.330088 -0.936361 0.219444 0 0 0 1
71 -0.598244 0.722715 0.346100 0.015951 0.782613 0.619737 0.058656 0.019868 -0.172100 0.305954 -0.936361 0.219403 0 0 0 1
72 -0.562783 0.757484 0.330896 0.015600 0.814547 0.576321 0.066061 0.020321 -0.140662 0.306709 -0.941351 0.219317 0 0 0 1
73 -0.495199 0.808516 0.317927 0.015278 0.863112 0.499571 0.073919 0.020782 -0.099062 0.311012 -0.945228 0.219245 0 0 0 1
74 -0.370015 0.875124 0.311839 0.015030 0.927920 0.364497 0.078131 0.021212 -0.045290 0.318272 -0.946916 0.219200 0 0 0 1
75 -0.466157 0.827597 0.312697 0.014857 0.881314 0.465298 0.082353 0.021644 -0.077342 0.313974 -0.946275 0.219180 0 0 0 1
76 -0.439212 0.844540 0.306337 0.014616 0.896497 0.434102 0.088580 0.022099 -0.058173 0.313536 -0.947792 0.219143 0 0 0 1
77 -0.411092 0.860263 0.301578 0.014393 0.910720 0.402047 0.094579 0.022553 -0.039886 0.313534 -0.948738 0.219113 0 0 0 1
78 -0.416790 0.858448 0.298917 0.014193 0.908285 0.406354 0.099460 0.022997 -0.036085 0.312956 -0.949081 0.219092 0 0 0 1
79 -0.424621 0.855399 0.296628 0.013998 0.904701 0.413481 0.102700 0.023426 -0.034801 0.311968 -0.949454 0.219072 0 0 0 1
80 -0.406677 0.865019 0.293860 0.013797 0.913261 0.393303 0.106134 0.023856 -0.023768 0.311533 -0.949937 0.219053 0 0 0 1
81 -0.403718 0.866404 0.293860 0.013622 0.914601 0.390178 0.106134 0.024250 -0.022702 0.311613 -0.949937 0.219040 0 0 0 1
82 -0.504157 0.812729 0.292053 0.013427 0.861913 0.494712 0.111189 0.024693 -0.054116 0.307782 -0.949916 0.219027 0 0 0 1
83 -0.472308 0.834036 0.285145 0.013177 0.880733 0.459440 0.114987 0.025122 -0.035104 0.305446 -0.951561 0.218999 0 0 0 1
84 -0.521925 0.805145 0.281662 0.012957 0.851567 0.510894 0.117554 0.025534 -0.049251 0.301208 -0.952285 0.218979 0 0 0 1
85 -0.491872 0.825245 0.277545 0.012725 0.869916 0.479041 0.117319 0.025915 -0.036138 0.299147 -0.953521 0.218954 0 0 0 1
86 -0.473430 0.836793 0.275025 0.012502 0.880428 0.458987 0.119060 0.026311 -0.026604 0.298507 -0.954036 0.218935 0 0 0 1
87 -0.506880 0.817289 0.274060 0.012286 0.861282 0.493286 0.121907 0.026713 -0.035557 0.297836 -0.953954 0.218921 0 0 0 1
88 -0.529280 0.803692 0.271918 0.012050 0.847528 0.515727 0.125382 0.027115 -0.039467 0.296820 -0.954117 0.218903 0 0 0 1
89 -0.513557 0.813829 0.271918 0.011825 0.857392 0.499155 0.125382 0.027476 -0.033690 0.297531 -0.954117 0.218885 0 0 0 1
90 -0.537132 0.798253 0.272541 0.011597 0.842535 0.523165 0.128180 0.027858 -0.040264 0.298476 -0.953566 0.218871 0 0 0 1
91 -0.616920 0.737874 0.273770 0.011364 0.783868 0.607197 0.129850 0.028222 -0.070419 0.294707 -0.952988 0.218854 0 0 0 1
92 -0.683616 0.677402 0.271650 0.011089 0.723540 0.677821 0.130559 0.028570 -0.095689 0.285802 -0.953498 0.218826 0 0 0 1
