# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
187 -0.571570 0.805540 0.156241 -0.018064 0.818441 0.573319 0.038182 0.057267 -0.058819 0.149698 -0.986980 0.218439 0 0 0 1
188 -0.512319 0.844462 0.156241 -0.018310 0.857455 0.513138 0.038182 0.057621 -0.047930 0.153531 -0.986980 0.218405 0 0 0 1
189 -0.583150 0.795724 0.163577 -0.018482 0.809308 0.586504 0.032115 0.057916 -0.070384 0.151112 -0.986007 0.218370 0 0 0 1
190 -0.576620 0.799077 0.170246 -0.018661 0.812946 0.581917 0.022112 0.058171 -0.081400 0.151151 -0.985152 0.218320 0 0 0 1
191 -0.782021 0.599548 0.170246 -0.018907 0.611309 0.791082 0.022112 0.058527 -0.121421 0.121365 -0.985152 0.218249 0 0 0 1
192 -0.555365 0.812449 0.177468 -0.019081 0.825636 0.564201 0.000812 0.058670 -0.099468 0.146975 -0.984125 0.218173 0 0 0 1
193 -0.702963 0.686634 0.185405 -0.019247 0.697552 0.716480 -0.008665 0.058932 -0.138789 0.123239 -0.982623 0.218090 0 0 0 1
194 -0.577868 0.792655 0.194329 -0.019403 0.804497 0.593306 -0.027754 0.059097 -0.137296 0.140299 -0.980543 0.218002 0 0 0 1
195 -0.740486 0.643361 0.194329 -0.019649 0.651452 0.758181 -0.027754 0.059452 -0.165193 0.106045 -0.980543 0.217885 0 0 0 1
196 -0.516511 0.834144 0.193437 -0.019903 0.845340 0.532725 -0.040026 0.059685 -0.136437 0.142846 -0.980295 0.217765 0 0 0 1
197 -0.555817 0.806241 0.202585 -0.020057 0.816578 0.575177 -0.048686 0.059953 -0.155775 0.138366 -0.978053 0.217662 0 0 0 1
198 -0.742988 0.637151 0.204953 -0.020277 0.642132 0.764947 -0.050207 0.060291 -0.188767 0.094304 -0.977482 0.217541 0 0 0 1
199 -0.837067 0.507940 0.203259 -0.020538 0.506670 0.859888 -0.062261 0.060524 -0.206405 0.050869 -0.977142 0.217419 0 0 0 1
200 -0.653277 0.732969 0.189691 -0.020917 0.734847 0.674158 -0.074216 0.060756 -0.182280 0.090910 -0.979034 0.217278 0 0 0 1
201 -0.564745 0.804483 0.184033 -0.021216 0.807999 0.584382 -0.075053 0.061098 -0.167924 0.106313 -0.980049 0.217152 0 0 0 1
202 -0.564075 0.804390 0.186478 -0.021433 0.807624 0.584482 -0.078246 0.061415 -0.171934 0.106467 -0.979337 0.217051 0 0 0 1
203 -0.271618 0.944104 0.186785 -0.021670 0.953810 0.289953 -0.078561 0.061759 -0.128328 0.156819 -0.979254 0.216955 0 0 0 1
204 -0.438347 0.878698 0.189048 -0.021887 0.891026 0.452445 -0.036943 0.062520 -0.117996 0.152253 -0.981272 0.216850 0 0 0 1
205 -0.487791 0.853179 0.184782 -0.022167 0.866734 0.498572 -0.013996 0.063093 -0.104069 0.153330 -0.982679 0.216767 0 0 0 1
206 -0.521833 0.834044 0.179051 -0.022461 0.848132 0.529767 0.004103 0.063615 -0.091433 0.154000 -0.983830 0.216704 0 0 0 1
207 -0.560280 0.809901 0.173625 -0.022750 0.823967 0.566383 0.016926 0.064082 -0.084630 0.152544 -0.984665 0.216664 0 0 0 1
208 -0.309154 0.935027 0.173625 -0.022984 0.950244 0.311042 0.016926 0.064419 -0.038178 0.170219 -0.984665 0.216654 0 0 0 1
209 -0.285981 0.942457 0.173168 -0.023220 0.958233 0.281010 0.053109 0.065114 0.001391 0.181124 -0.983458 0.216681 0 0 0 1
210 -0.539450 0.824289 0.171871 -0.023463 0.841939 0.530819 0.096789 0.065882 -0.011450 0.196917 -0.980352 0.216753 0 0 0 1
211 -0.257623 0.950836 0.171871 -0.023690 0.964945 0.243951 0.096789 0.066210 0.050102 0.190781 -0.980352 0.216823 0 0 0 1
212 -0.430158 0.886355 0.171281 -0.023923 0.900993 0.409681 0.142726 0.066994 0.056336 0.215718 -0.974828 0.216977 0 0 0 1
213 -0.312547 0.935631 0.164036 -0.024220 0.943596 0.285944 0.166913 0.067558 0.109264 0.206952 -0.972230 0.217127 0 0 0 1
214 -0.258899 0.952498 0.160368 -0.024480 0.952726 0.224492 0.204730 0.068256 0.159004 0.205791 -0.965591 0.217340 0 0 0 1
215 -0.498443 0.853699 0.150832 -0.024799 0.850215 0.447390 0.277445 0.069301 0.169374 0.266530 -0.948827 0.217675 0 0 0 1
216 -0.294444 0.943690 0.150832 -0.025022 0.928853 0.245470 0.277445 0.069616 0.224798 0.221792 -0.948827 0.217859 0 0 0 1
217 -0.282956 0.948341 0.143466 -0.025318 0.917579 0.224102 0.328367 0.070439 0.279253 0.224555 -0.933590 0.218210 0 0 0 1
218 -0.337639 0.930934 0.139139 -0.025585 0.888806 0.266652 0.372719 0.071195 0.309875 0.249512 -0.917452 0.218581 0 0 0 1
219 -0.253844 0.959204 0.124456 -0.025956 0.885363 0.178612 0.429218 0.072071 0.389479 0.219143 -0.894584 0.219030 0 0 0 1
220 -0.427539 0.896181 0.118611 -0.026240 0.811582 0.322723 0.487013 0.072959 0.398173 0.304480 -0.865302 0.219548 0 0 0 1
221 -0.397620 0.911559 0.104671 -0.026606 0.803326 0.290728 0.519752 0.073595 0.443354 0.290749 -0.847880 0.219952 0 0 0 1
222 -0.692570 0.714882 0.096378 -0.026918 0.636820 0.543175 0.547192 0.074178 0.338828 0.440345 -0.831439 0.220346 0 0 0 1
223 -0.563472 0.821437 0.087964 -0.027233 0.718675 0.434880 0.542571 0.074440 0.407435 0.368942 -0.835390 0.220535 0 0 0 1
224 -0.879156 0.469600 0.080987 -0.027536 0.432864 0.715903 0.547823 0.074800 0.199280 0.516678 -0.832664 0.220786 0 0 0 1
225 -0.989239 0.125979 0.074387 -0.027839 0.146228 0.835304 0.529984 0.074930 0.004631 0.535159 -0.844737 0.220882 0 0 0 1
226 -0.614708 0.785923 0.066756 -0.028156 0.701431 0.505985 0.501967 0.074958 0.360731 0.355389 -0.862305 0.220912 0 0 0 1
227 -0.569317 0.820067 0.058016 -0.028487 0.724328 0.466967 0.507237 0.075320 0.388878 0.330801 -0.859850 0.221130 0 0 0 1
228 -0.522242 -0.850821 0.058016 -0.028735 -0.718630 0.475689 0.507237 0.075630 -0.459166 0.223209 -0.859850 0.221308 0 0 0 1
229 -0.717788 -0.694609 0.047925 -0.029088 -0.614325 0.664213 0.425939 0.075127 -0.327693 0.276293 -0.903481 0.221031 0 0 0 1
230 -0.589715 -0.806789 0.036401 -0.029461 -0.744812 0.560733 0.361706 0.074797 -0.312232 0.186191 -0.931580 0.220888 0 0 0 1
231 -0.501967 -0.864729 0.016427 -0.029923 -0.830405 0.487178 0.270337 0.074197 -0.241771 0.122059 -0.962625 0.220692 0 0 0 1
232 -0.647464 0.761970 0.013770 -0.030218 0.749976 0.633855 0.189108 0.073700 0.135366 0.132768 -0.981859 0.220588 0 0 0 1
233 -0.848174 -0.529537 0.013770 -0.030492 -0.517821 0.834325 0.189108 0.074017 -0.111629 0.153266 -0.981859 0.220647 0 0 0 1
234 -0.807978 0.589192 0.004710 -0.030863 0.584334 0.800238 0.134799 0.073793 0.075653 0.111667 -0.990861 0.220588 0 0 0 1
235 -0.674619 0.738147 -0.005171 -0.031246 0.731337 0.669313 0.131009 0.074075 0.100165 0.084599 -0.991367 0.220589 0 0 0 1
236 -0.383261 0.923624 -0.005171 -0.031536 0.915416 0.380589 0.131009 0.074396 0.122971 0.045477 -0.991367 0.220573 0 0 0 1
237 -0.663895 -0.747809 -0.004723 -0.031824 -0.737631 0.653794 0.168680 0.075094 -0.123053 0.115470 -0.985659 0.220595 0 0 0 1
238 -0.755802 -0.654592 -0.016449 -0.032238 -0.653055 0.751721 0.091826 0.074648 -0.047744 0.080144 -0.995638 0.220443 0 0 0 1
239 -0.880120 -0.474461 -0.016537 -0.032539 -0.474745 0.879442 0.034589 0.074397 -0.001868 0.038293 -0.999264 0.220341 0 0 0 1
240 -0.914612 -0.403396 -0.027478 -0.032950 -0.402986 0.915000 -0.019358 0.074178 0.032951 -0.006632 -0.999434 0.220263 0 0 0 1
241 -0.962253 0.270512 -0.029852 -0.033278 0.271938 0.960059 -0.065837 0.074033 0.010850 -0.071469 -0.997383 0.220198 0 0 0 1
242 -0.800838 0.597892 -0.034385 -0.033628 0.598339 0.796356 -0.088349 0.074127 -0.025440 -0.091327 -0.995495 0.220126 0 0 0 1
243 -0.701590 0.711229 -0.043837 -0.034029 0.711760 0.696506 -0.090967 0.074417 -0.034165 -0.095023 -0.994888 0.220039 0 0 0 1
244 -0.464882 0.884088 -0.047655 -0.034373 0.883575 0.459838 -0.088559 0.074756 -0.056380 -0.083276 -0.994929 0.219945 0 0 0 1
245 -0.564300 0.823250 -0.061826 -0.034820 0.825551 0.563185 -0.035851 0.075595 0.005305 -0.071271 -0.997442 0.219829 0 0 0 1
246 -0.589677 0.804718 -0.068612 -0.035193 0.807091 0.590274 -0.013384 0.076129 0.029729 -0.063268 -0.997553 0.219743 0 0 0 1
247 -0.439173 0.893806 -0.090755 -0.035717 0.896096 0.443037 0.026975 0.076838 0.064318 -0.069479 -0.995507 0.219687 0 0 0 1
248 -0.843587 0.527112 -0.102530 -0.036136 0.521075 0.849665 0.080919 0.077679 0.129770 0.014836 -0.991432 0.219663 0 0 0 1
249 -0.343075 0.932383 -0.113837 -0.036548 0.932642 0.352542 0.076758 0.077935 0.111700 -0.079835 -0.990529 0.219620 0 0 0 1
250 -0.700067 0.701293 -0.134508 -0.037050 0.677940 0.711905 0.183264 0.079294 0.224279 0.037109 -0.973817 0.219753 0 0 0 1
251 -0.383485 0.913699 -0.134508 -0.037342 0.896544 0.403264 0.183264 0.079582 0.221691 -0.050313 -0.973817 0.219738 0 0 0 1
252 -0.501601 0.853186 -0.143067 -0.037715 0.818340 0.521589 0.241376 0.080446 0.280561 0.003997 -0.959827 0.219885 0 0 0 1
253 -0.692340 0.705794 -0.150059 -0.038068 0.657648 0.702787 0.271270 0.081022 0.296921 0.089126 -0.950733 0.220008 0 0 0 1
254 -0.456234 0.877115 -0.150059 -0.038346 0.834113 0.480276 0.271270 0.081294 0.310005 -0.001403 -0.950733 0.220068 0 0 0 1
255 -0.369140 0.915856 -0.157931 -0.038697 0.862465 0.400893 0.308930 0.081935 0.346249 -0.022172 -0.937880 0.220285 0 0 0 1
256 -0.316260 0.933703 -0.167854 -0.039064 0.858281 0.356989 0.368661 0.082792 0.404142 -0.027474 -0.914282 0.220636 0 0 0 1
257 -0.652822 0.738082 -0.170459 -0.039352 0.628685 0.653437 0.421632 0.083576 0.422583 0.168086 -0.890600 0.221013 0 0 0 1
258 -0.292447 0.940966 -0.170459 -0.039610 0.841456 0.337900 0.421632 0.083826 0.454340 -0.020129 -0.890600 0.221178 0 0 0 1
259 -0.625799 0.759711 -0.176674 -0.039927 0.614352 0.619656 0.488463 0.084739 0.480568 0.197140 -0.854511 0.221726 0 0 0 1
260 -0.266006 0.947642 -0.176674 -0.040177 0.812165 0.319044 0.488463 0.084979 0.519255 -0.013554 -0.854511 0.221934 0 0 0 1
261 -0.508447 0.841852 -0.181014 -0.040467 0.654775 0.514508 0.553668 0.085868 0.559240 0.162988 -0.812824 0.222578 0 0 0 1
262 -0.317382 0.930430 -0.183214 -0.040732 0.741529 0.363933 0.563636 0.086201 0.591102 0.043029 -0.805447 0.222898 0 0 0 1
263 -0.571826 0.800180 -0.180901 -0.040949 0.587270 0.553240 0.590794 0.086702 0.572824 0.231593 -0.786279 0.223353 0 0 0 1
264 -0.239472 0.953900 -0.180901 -0.041187 0.748949 0.300060 0.590794 0.086929 0.617841 0.005993 -0.786279 0.223631 0 0 0 1
265 -0.321550 0.930261 -0.176684 -0.041380 0.690466 0.358041 0.628539 0.087532 0.647966 0.080113 -0.757443 0.224212 0 0 0 1
266 -0.536870 0.825427 -0.174468 -0.041591 0.566687 0.506020 0.650237 0.087971 0.625008 0.250224 -0.739426 0.224697 0 0 0 1
267 -0.406450 0.896860 -0.174468 -0.041822 0.636425 0.414915 0.650237 0.088192 0.655561 0.153253 -0.739426 0.225013 0 0 0 1
268 -0.422919 0.889904 -0.170905 -0.042016 0.624637 0.422928 0.656475 0.088474 0.656480 0.170882 -0.734732 0.225386 0 0 0 1
269 -0.405211 0.898562 -0.168490 -0.042221 0.628668 0.407679 0.662248 0.088751 0.663761 0.162426 -0.730094 0.225767 0 0 0 1
270 -0.479206 0.861491 -0.167908 -0.042443 0.583598 0.455635 0.672167 0.089068 0.655571 0.224116 -0.721108 0.226199 0 0 0 1
271 -0.563477 0.809472 -0.165063 -0.042642 0.536920 0.510682 0.671505 0.089279 0.627860 0.289752 -0.722380 0.226533 0 0 0 1
272 -0.733295 0.659954 -0.163515 -0.042853 0.411290 0.622068 0.666236 0.089444 0.541403 0.421296 -0.727592 0.226832 0 0 0 1
273 -0.573304 0.802922 -0.163207 -0.043076 0.547671 0.523688 0.652538 0.089525 0.609407 0.284719 -0.739970 0.227063 0 0 0 1
274 -0.514844 0.841390 -0.164306 -0.043314 0.585732 0.485189 0.649236 0.089711 0.625981 0.238016 -0.742627 0.227392 0 0 0 1
275 -0.978135 0.127486 -0.164306 -0.043542 -0.009934 0.760521 0.649236 0.089932 0.207727 0.636673 -0.742627 0.227747 0 0 0 1
276 -0.880734 0.443097 -0.167245 -0.043800 0.254929 0.741135 0.621070 0.089872 0.399146 0.504362 -0.765702 0.227870 0 0 0 1
277 -0.839198 0.516618 -0.169852 -0.044055 0.327431 0.729369 0.600673 0.089892 0.434204 0.448469 -0.781243 0.228066 0 0 0 1
278 -0.536301 0.826039 -0.173316 -0.044321 0.619986 0.524884 0.583191 0.089943 0.572710 0.205313 -0.793630 0.228288 0 0 0 1
279 -0.969245 -0.173019 -0.175002 -0.044570 -0.243730 0.773187 0.585471 0.090194 0.034012 0.610119 -0.791578 0.228650 0 0 0 1
280 -0.965910 0.184152 -0.181946 -0.044875 0.055733 0.834277 0.548520 0.090056 0.252805 0.519681 -0.816100 0.228739 0 0 0 1
281 -0.567781 0.801859 -0.186131 -0.045154 0.634686 0.570423 0.521334 0.090019 0.524210 0.177869 -0.832805 0.228897 0 0 0 1
282 -0.817158 -0.545533 -0.186131 -0.045393 -0.552768 0.650121 0.521334 0.090258 -0.163397 0.528900 -0.832805 0.229212 0 0 0 1
283 -0.757494 0.622918 -0.195382 -0.045728 0.486209 0.738012 0.467907 0.089966 0.435663 0.259441 -0.861909 0.229225 0 0 0 1
284 -0.633137 0.748122 -0.198618 -0.046006 0.614871 0.641972 0.458043 0.090114 0.470179 0.167880 -0.866456 0.229471 0 0 0 1
285 -0.975331 -0.095074 -0.199220 -0.046262 -0.178090 0.872155 0.455661 0.090342 0.130430 0.479900 -0.867572 0.229737 0 0 0 1
286 -0.752992 0.624873 -0.206240 -0.046585 0.508292 0.751387 0.420779 0.090250 0.417899 0.212013 -0.883407 0.229840 0 0 0 1
287 -0.974444 -0.074028 -0.212077 -0.046900 -0.158266 0.896251 0.414348 0.090448 0.159400 0.437324 -0.885063 0.230068 0 0 0 1
288 -0.951601 0.219904 -0.214701 -0.047188 0.125694 0.915966 0.381058 0.090383 0.280455 0.335629 -0.899275 0.230152 0 0 0 1
289 -0.926179 0.307593 -0.218122 -0.047488 0.217739 0.908518 0.356627 0.090414 0.307864 0.282807 -0.908426 0.230266 0 0 0 1
290 -0.636589 0.738259 -0.222992 -0.047808 0.660855 0.671245 0.335706 0.090485 0.397520 0.066341 -0.915191 0.230384 0 0 0 1
291 -0.895462 0.385254 -0.222992 -0.048084 0.300489 0.892752 0.335706 0.090773 0.328408 0.233605 -0.915191 0.230546 0 0 0 1
292 -0.928574 0.292044 -0.229039 -0.048427 0.211998 0.923892 0.318556 0.090897 0.304640 0.247247 -0.919816 0.230638 0 0 0 1
293 -0.809207 0.536929 -0.238515 -0.048809 0.465031 0.833451 0.298501 0.090999 0.359065 0.130632 -0.924124 0.230707 0 0 0 1
294 -0.931010 0.269325 -0.246339 -0.049181 0.194302 0.937050 0.290141 0.091226 0.308975 0.222260 -0.924734 0.230787 0 0 0 1
295 -0.848907 0.466200 -0.249022 -0.049509 0.402281 0.875505 0.267691 0.091321 0.342818 0.127068 -0.930767 0.230784 0 0 0 1
296 -0.893476 -0.370131 -0.254366 -0.049869 -0.431009 0.865850 0.254035 0.091512 0.126216 0.336608 -0.933146 0.230788 0 0 0 1
297 -0.813081 0.515346 -0.270769 -0.050347 0.475051 0.856204 0.203073 0.091340 0.336487 0.036486 -0.940980 0.230707 0 0 0 1
298 -0.910210 0.306476 -0.278546 -0.050746 0.259684 0.946291 0.192602 0.091582 0.322613 0.102974 -0.940912 0.230671 0 0 0 1
299 -0.818508 0.497148 -0.287900 -0.051169 0.466649 0.867643 0.171557 0.091727 0.335084 0.006072 -0.942168 0.230589 0 0 0 1
300 0.000502 0.000000 -0.293490 -0.051561 0.000373 -0.000000 0.157498 0.091953 -0.000094 -0.000000 -0.942898 0.230476 0 0 0 1
301 0.000502 0.000000 -0.293490 -0.048627 0.000373 -0.000000 0.157498 0.090378 -0.000094 -0.000000 -0.942898 0.239905 0 0 0 1
