#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
0.108723 0.921204 -0.373580 -0.045062 0.930049 -0.226952 -0.288965 0.012356 -0.350981 -0.316030 -0.881440 0.212502 0 0 0 1
0.114592 0.910332 -0.397700 -0.045625 0.916604 -0.251244 -0.310988 0.012501 -0.383022 -0.328896 -0.863204 0.212774 0 0 0 1
0.126118 0.890889 -0.436361 -0.046332 0.906073 -0.282539 -0.314966 0.012826 -0.403889 -0.355652 -0.842844 0.213083 0 0 0 1
0.137551 0.869494 -0.474405 -0.047033 0.895348 -0.313979 -0.315862 0.013180 -0.423593 -0.381311 -0.821688 0.213414 0 0 0 1
0.149545 0.858104 -0.491217 -0.047521 0.885658 -0.337130 -0.319301 0.013509 -0.439597 -0.387300 -0.810403 0.213659 0 0 0 1
0.166124 0.855049 -0.491217 -0.047840 0.878968 -0.354206 -0.319301 0.013870 -0.447010 -0.378721 -0.810403 0.213801 0 0 0 1
0.173456 0.827730 -0.533644 -0.048583 0.864137 -0.387841 -0.320698 0.014217 -0.472420 -0.405514 -0.782545 0.214231 0 0 0 1
0.192254 0.803840 -0.562921 -0.049195 0.856107 -0.417783 -0.304201 0.014743 -0.479708 -0.423436 -0.768493 0.214530 0 0 0 1
0.204404 0.794094 -0.572393 -0.049608 0.844443 -0.438798 -0.307200 0.015072 -0.495111 -0.420561 -0.760259 0.214777 0 0 0 1
0.216191 0.762958 -0.609226 -0.050296 0.831351 -0.471051 -0.294901 0.015554 -0.511974 -0.442726 -0.736123 0.215187 0 0 0 1
0.226718 0.745840 -0.626355 -0.050786 0.817816 -0.495038 -0.293453 0.015927 -0.528939 -0.445712 -0.722194 0.215497 0 0 0 1
0.241863 0.715986 -0.654878 -0.051391 0.805806 -0.524191 -0.275500 0.016464 -0.540536 -0.461071 -0.703729 0.215854 0 0 0 1
0.259707 0.702088 -0.663042 -0.051793 0.794637 -0.545517 -0.266390 0.016912 -0.548730 -0.457694 -0.699579 0.216067 0 0 0 1
0.277919 0.684237 -0.674226 -0.052226 0.782965 -0.567989 -0.253680 0.017396 -0.556530 -0.457393 -0.693589 0.216295 0 0 0 1
0.294356 0.677388 -0.674167 -0.052547 0.770367 -0.585650 -0.252089 0.017768 -0.565588 -0.445152 -0.694227 0.216454 0 0 0 1
0.304641 0.663383 -0.683459 -0.052962 0.754917 -0.605711 -0.251426 0.018130 -0.580771 -0.439360 -0.685323 0.216705 0 0 0 1
0.308111 0.652519 -0.692305 -0.053373 0.736638 -0.624134 -0.260425 0.018396 -0.602023 -0.429738 -0.672973 0.216988 0 0 0 1
0.328164 0.643894 -0.691165 -0.053684 0.724148 -0.641313 -0.253628 0.018819 -0.606563 -0.417274 -0.676730 0.217107 0 0 0 1
0.353765 0.634174 -0.687512 -0.053969 0.713173 -0.658471 -0.240417 0.019306 -0.605173 -0.405264 -0.685220 0.217177 0 0 0 1
0.369082 0.627968 -0.685153 -0.054267 0.698206 -0.673914 -0.241553 0.019651 -0.613422 -0.389225 -0.687180 0.217311 0 0 0 1
0.392011 0.624423 -0.675592 -0.054492 0.685679 -0.687914 -0.237948 0.020042 -0.613329 -0.369961 -0.697823 0.217357 0 0 0 1
0.416416 0.619551 -0.665398 -0.054710 0.673388 -0.701902 -0.232124 0.020457 -0.610857 -0.351411 -0.709482 0.217391 0 0 0 1
0.430591 0.609785 -0.665398 -0.055028 0.657025 -0.717243 -0.232124 0.020813 -0.618797 -0.337233 -0.709482 0.217542 0 0 0 1
0.457446 0.604623 -0.652054 -0.055212 0.645131 -0.730315 -0.224601 0.021246 -0.612004 -0.317917 -0.724141 0.217546 0 0 0 1
0.471253 0.593925 -0.652054 -0.055527 0.628137 -0.744982 -0.224601 0.021603 -0.619165 -0.303735 -0.724141 0.217698 0 0 0 1
0.486373 0.581476 -0.652171 -0.055841 0.611276 -0.759777 -0.221543 0.021993 -0.624326 -0.290904 -0.724977 0.217841 0 0 0 1
0.502222 0.568653 -0.651465 -0.056145 0.594472 -0.774154 -0.217460 0.022393 -0.627994 -0.278064 -0.726845 0.217975 0 0 0 1
0.533243 0.556294 -0.637329 -0.056312 0.582457 -0.787797 -0.200297 0.022925 -0.613510 -0.264410 -0.744105 0.217957 0 0 0 1
0.545768 0.544011 -0.637329 -0.056617 0.564374 -0.800852 -0.200297 0.023287 -0.619370 -0.250376 -0.744105 0.218114 0 0 0 1
0.578796 0.531245 -0.618687 -0.056734 0.552402 -0.813521 -0.181756 0.023835 -0.599872 -0.236565 -0.764324 0.218070 0 0 0 1
0.595177 0.513369 -0.618236 -0.057028 0.534370 -0.827432 -0.172641 0.024290 -0.600177 -0.227615 -0.766798 0.218207 0 0 0 1
0.621090 0.501175 -0.602553 -0.057167 0.519915 -0.838767 -0.161736 0.024765 -0.586460 -0.212824 -0.781518 0.218224 0 0 0 1
0.638216 0.485564 -0.597418 -0.057408 0.502302 -0.850717 -0.154833 0.025201 -0.583415 -0.201268 -0.786841 0.218338 0 0 0 1
0.655623 0.469416 -0.591445 -0.057636 0.484596 -0.862267 -0.147181 0.025647 -0.579073 -0.190117 -0.792799 0.218450 0 0 0 1
0.667740 0.452985 -0.590702 -0.057912 0.465509 -0.873332 -0.143503 0.026055 -0.580883 -0.179155 -0.794027 0.218613 0 0 0 1
0.682537 0.435832 -0.586680 -0.058152 0.446931 -0.884049 -0.136787 0.026494 -0.578270 -0.168843 -0.798183 0.218751 0 0 0 1
0.699622 0.414027 -0.582333 -0.058384 0.427616 -0.895556 -0.122980 0.027006 -0.572428 -0.162975 -0.803595 0.218881 0 0 0 1
0.703825 0.392788 -0.591903 -0.058754 0.405787 -0.906208 -0.118844 0.027421 -0.583067 -0.156541 -0.797200 0.219133 0 0 0 1
0.718188 0.377036 -0.584850 -0.058956 0.387617 -0.914776 -0.113741 0.027846 -0.577891 -0.145010 -0.803127 0.219265 0 0 0 1
0.725295 0.353106 -0.590986 -0.059288 0.365978 -0.924857 -0.103438 0.028323 -0.583102 -0.141265 -0.800023 0.219491 0 0 0 1
0.732363 0.338202 -0.590986 -0.059558 0.346992 -0.932147 -0.103438 0.028695 -0.585868 -0.129313 -0.800023 0.219689 0 0 0 1
0.745290 0.315025 -0.587624 -0.059796 0.326924 -0.940783 -0.089711 0.029204 -0.581088 -0.125248 -0.804145 0.219850 0 0 0 1
0.755239 0.291071 -0.587275 -0.060064 0.306263 -0.948873 -0.076434 0.029706 -0.579497 -0.122135 -0.805770 0.220038 0 0 0 1
0.762765 0.271909 -0.586732 -0.060332 0.286842 -0.955426 -0.069871 0.030138 -0.579578 -0.115004 -0.806761 0.220236 0 0 0 1
0.773869 0.254390 -0.580011 -0.060541 0.268554 -0.961185 -0.063257 0.030568 -0.573590 -0.106811 -0.812149 0.220393 0 0 0 1
0.781681 0.232923 -0.578551 -0.060806 0.248964 -0.967064 -0.052962 0.031031 -0.571832 -0.102639 -0.813925 0.220588 0 0 0 1
0.789728 0.214850 -0.574603 -0.061049 0.230687 -0.971923 -0.046359 0.031453 -0.568430 -0.095943 -0.817118 0.220772 0 0 0 1
0.798278 0.195746 -0.569592 -0.061286 0.212403 -0.976448 -0.037885 0.031889 -0.563593 -0.090740 -0.821054 0.220951 0 0 0 1
0.806002 0.177436 -0.564692 -0.061529 0.194569 -0.980419 -0.030351 0.032312 -0.559020 -0.085409 -0.824743 0.221133 0 0 0 1
0.816022 0.155223 -0.556789 -0.061745 0.175755 -0.984290 -0.016819 0.032792 -0.550653 -0.084133 -0.830483 0.221296 0 0 0 1
0.821858 0.137158 -0.552935 -0.062004 0.158358 -0.987336 -0.009536 0.033207 -0.547240 -0.079725 -0.833170 0.221490 0 0 0 1
0.823897 0.124327 -0.552935 -0.062304 0.142945 -0.989685 -0.009536 0.033548 -0.548416 -0.071183 -0.833170 0.221711 0 0 0 1
0.830148 0.107903 -0.547003 -0.062546 0.126629 -0.991944 -0.003497 0.033948 -0.542973 -0.066363 -0.837124 0.221891 0 0 0 1
0.839108 0.091291 -0.536250 -0.062741 0.110409 -0.993880 0.003567 0.034358 -0.532643 -0.062200 -0.844052 0.222040 0 0 0 1
0.852415 0.072325 -0.517839 -0.062860 0.093255 -0.995537 0.014463 0.034807 -0.514482 -0.060620 -0.855356 0.222142 0 0 0 1
0.853358 0.060190 -0.517839 -0.063162 0.079081 -0.996763 0.014463 0.035148 -0.515293 -0.053294 -0.855356 0.222354 0 0 0 1
0.872375 0.037314 -0.487410 -0.063158 0.059906 -0.997728 0.030839 0.035655 -0.485152 -0.056102 -0.872628 0.222391 0 0 0 1
0.872807 0.025281 -0.487410 -0.063457 0.046142 -0.998459 0.030839 0.036002 -0.485879 -0.049406 -0.872628 0.222595 0 0 0 1
0.880197 0.009987 -0.474503 -0.063625 0.030605 -0.998892 0.035748 0.036401 -0.473620 -0.045987 -0.879528 0.222725 0 0 0 1
0.884749 -0.004418 -0.466048 -0.063834 0.015677 -0.999107 0.039231 0.036791 -0.465805 -0.042016 -0.883889 0.222875 0 0 0 1
0.888270 -0.019606 -0.458904 -0.064053 0.000497 -0.999047 0.043645 0.037195 -0.459322 -0.038996 -0.887413 0.223027 0 0 0 1
0.894280 -0.036675 -0.446003 -0.064209 -0.015856 -0.998607 0.050323 0.037627 -0.447227 -0.037931 -0.893616 0.223145 0 0 0 1
0.898081 -0.052588 -0.436676 -0.064396 -0.031521 -0.997969 0.055357 0.038050 -0.438700 -0.035951 -0.897914 0.223275 0 0 0 1
0.897312 -0.064391 -0.436676 -0.064671 -0.044639 -0.997468 0.055357 0.038430 -0.439135 -0.030180 -0.897914 0.223439 0 0 0 1
0.900541 -0.078761 -0.427578 -0.064848 -0.059548 -0.996530 0.058147 0.038846 -0.430674 -0.026902 -0.902106 0.223552 0 0 0 1
0.908055 -0.097298 -0.407394 -0.064909 -0.077331 -0.994869 0.065240 0.039313 -0.411651 -0.027737 -0.910919 0.223610 0 0 0 1
0.906695 -0.109246 -0.407394 -0.065166 -0.090424 -0.993764 0.065240 0.039716 -0.411981 -0.022315 -0.910919 0.223750 0 0 0 1
0.906868 -0.123020 -0.403060 -0.065375 -0.104708 -0.992226 0.067253 0.040145 -0.408200 -0.018786 -0.912699 0.223864 0 0 0 1
0.909720 -0.142660 -0.389945 -0.065491 -0.122629 -0.989543 0.075932 0.040647 -0.396701 -0.021258 -0.917702 0.223941 0 0 0 1
0.908425 -0.159112 -0.386584 -0.065701 -0.138111 -0.987041 0.081707 0.041124 -0.394574 -0.020833 -0.918628 0.224053 0 0 0 1
0.908464 -0.176968 -0.378650 -0.065862 -0.154658 -0.983968 0.088813 0.041620 -0.388296 -0.022122 -0.921269 0.224144 0 0 0 1
0.906151 -0.188455 -0.378650 -0.066099 -0.167104 -0.981931 0.088813 0.042047 -0.388545 -0.017204 -0.921269 0.224258 0 0 0 1
0.904520 -0.204890 -0.373984 -0.066288 -0.182410 -0.978625 0.094970 0.042540 -0.385448 -0.017684 -0.922560 0.224357 0 0 0 1
0.901933 -0.215995 -0.373984 -0.066520 -0.194427 -0.976309 0.094970 0.042973 -0.385637 -0.012944 -0.922560 0.224467 0 0 0 1
0.898407 -0.240356 -0.367550 -0.066687 -0.213557 -0.970420 0.112598 0.043584 -0.383742 -0.022666 -0.923162 0.224570 0 0 0 1
0.895161 -0.257261 -0.364011 -0.066882 -0.228477 -0.966018 0.120864 0.044102 -0.382734 -0.025024 -0.923519 0.224675 0 0 0 1
0.892721 -0.266783 -0.363147 -0.067104 -0.239324 -0.963553 0.119540 0.044525 -0.381802 -0.019807 -0.924032 0.224780 0 0 0 1
0.888962 -0.282902 -0.360157 -0.067304 -0.253398 -0.958890 0.127750 0.045042 -0.381492 -0.022302 -0.924103 0.224891 0 0 0 1
0.886140 -0.293769 -0.358407 -0.067517 -0.264641 -0.955678 0.129014 0.045489 -0.380422 -0.019475 -0.924608 0.225001 0 0 0 1
0.881964 -0.308950 -0.355936 -0.067723 -0.277743 -0.950823 0.137096 0.046003 -0.380788 -0.022055 -0.924399 0.225121 0 0 0 1
0.881385 -0.316730 -0.350489 -0.067901 -0.287768 -0.948369 0.133362 0.046396 -0.374633 -0.016684 -0.927023 0.225216 0 0 0 1
0.878448 -0.331073 -0.344557 -0.068075 -0.300648 -0.943406 0.139984 0.046892 -0.371403 -0.019378 -0.928270 0.225328 0 0 0 1
0.876681 -0.337350 -0.342967 -0.068292 -0.309075 -0.941289 0.135825 0.047279 -0.368651 -0.013072 -0.929476 0.225443 0 0 0 1
0.872996 -0.337649 -0.351954 -0.068614 -0.313163 -0.941272 0.126238 0.047610 -0.373908 0.000014 -0.927466 0.225594 0 0 0 1
0.871902 -0.349425 -0.343059 -0.068756 -0.324829 -0.936964 0.128779 0.048062 -0.366433 -0.000847 -0.930444 0.225697 0 0 0 1
0.870246 -0.356954 -0.339494 -0.068950 -0.333718 -0.934117 0.126718 0.048467 -0.362360 0.003019 -0.932033 0.225817 0 0 0 1
0.866346 -0.361836 -0.344268 -0.069226 -0.340131 -0.932190 0.123825 0.048864 -0.365727 0.009821 -0.930670 0.225968 0 0 0 1
0.863785 -0.363648 -0.348763 -0.069497 -0.345221 -0.931318 0.116055 0.049212 -0.367013 0.020154 -0.929998 0.226114 0 0 0 1
0.860189 -0.371234 -0.349658 -0.069729 -0.353210 -0.928249 0.116602 0.049643 -0.367856 0.023202 -0.929593 0.226260 0 0 0 1
0.857364 -0.380264 -0.346880 -0.069922 -0.362202 -0.924561 0.118304 0.050087 -0.365699 0.024211 -0.930418 0.226394 0 0 0 1
0.854636 -0.387565 -0.345528 -0.070125 -0.370188 -0.921443 0.117914 0.050510 -0.364084 0.027137 -0.930971 0.226533 0 0 0 1
0.847791 -0.395535 -0.353274 -0.070414 -0.377075 -0.917992 0.122898 0.050989 -0.372914 0.029019 -0.927412 0.226714 0 0 0 1
0.844533 -0.402445 -0.353274 -0.070622 -0.384559 -0.914882 0.122898 0.051419 -0.372664 0.032063 -0.927412 0.226859 0 0 0 1
0.838421 -0.414051 -0.354418 -0.070837 -0.393543 -0.909795 0.131897 0.051940 -0.377060 0.028893 -0.925738 0.227023 0 0 0 1
0.832086 -0.422399 -0.359460 -0.071085 -0.400563 -0.905922 0.137312 0.052427 -0.383643 0.029731 -0.923003 0.227197 0 0 0 1
0.828917 -0.435406 -0.351167 -0.071194 -0.411278 -0.899907 0.144973 0.052940 -0.379140 0.024257 -0.925022 0.227324 0 0 0 1
0.820288 -0.440015 -0.365396 -0.071522 -0.415206 -0.897497 0.148669 0.053414 -0.393358 0.029763 -0.918903 0.227532 0 0 0 1
0.813035 -0.445858 -0.374413 -0.071791 -0.420384 -0.894474 0.152295 0.053891 -0.402805 0.033576 -0.914670 0.227721 0 0 0 1
0.805328 -0.453247 -0.382117 -0.072040 -0.426126 -0.890687 0.158407 0.054396 -0.412144 0.035260 -0.910436 0.227910 0 0 0 1
0.803029 -0.464876 -0.372874 -0.072111 -0.436170 -0.884829 0.163806 0.054896 -0.406080 0.031095 -0.913309 0.228026 0 0 0 1
0.794150 -0.470898 -0.384162 -0.072380 -0.440630 -0.881511 0.169656 0.055405 -0.418534 0.034541 -0.907544 0.228228 0 0 0 1
0.789702 -0.478911 -0.383426 -0.072521 -0.447996 -0.877156 0.172906 0.055891 -0.419131 0.035229 -0.907242 0.228375 0 0 0 1
0.784919 -0.482168 -0.389121 -0.072716 -0.453066 -0.875044 0.170380 0.056323 -0.422650 0.042563 -0.905293 0.228536 0 0 0 1
0.780863 -0.488615 -0.389241 -0.072847 -0.459968 -0.871312 0.171010 0.056791 -0.422708 0.045503 -0.905123 0.228678 0 0 0 1
0.778929 -0.497793 -0.381409 -0.072888 -0.469112 -0.866147 0.172406 0.057272 -0.416178 0.044631 -0.908187 0.228786 0 0 0 1
0.775688 -0.502409 -0.381960 -0.073003 -0.475654 -0.863167 0.169398 0.057712 -0.414802 0.050280 -0.908521 0.228919 0 0 0 1
0.768989 -0.503743 -0.393572 -0.073217 -0.479330 -0.861718 0.166385 0.058158 -0.422963 0.060703 -0.904111 0.229097 0 0 0 1
0.767371 -0.507990 -0.391264 -0.073282 -0.486574 -0.858745 0.160634 0.058582 -0.417596 0.067113 -0.906151 0.229208 0 0 0 1
0.762906 -0.515888 -0.389659 -0.073342 -0.494308 -0.853917 0.162745 0.059090 -0.416695 0.068452 -0.906466 0.229334 0 0 0 1
0.753629 -0.517063 -0.405818 -0.073567 -0.497334 -0.852245 0.162287 0.059578 -0.429769 0.079522 -0.899430 0.229530 0 0 0 1
0.749928 -0.519729 -0.409255 -0.073653 -0.503443 -0.849723 0.156575 0.060019 -0.429130 0.088617 -0.898885 0.229658 0 0 0 1
0.742951 -0.525462 -0.414624 -0.073745 -0.509628 -0.845662 0.158539 0.060544 -0.433938 0.093517 -0.896076 0.229805 0 0 0 1
0.742951 -0.525462 -0.414624 -0.069599 -0.509628 -0.845662 0.158539 0.058958 -0.433938 0.093517 -0.896076 0.238766 0 0 0 1
