#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
-0.488744 0.764930 0.419537 0.014570 0.803731 0.581821 -0.124503 -0.033875 -0.339331 0.276345 -0.899159 0.210312 0 0 0 1
-0.488509 0.766782 0.416419 0.014217 0.803862 0.581100 -0.126996 -0.033572 -0.339359 0.272705 -0.900260 0.210098 0 0 0 1
-0.486546 0.767546 0.417308 0.013904 0.804252 0.580070 -0.129221 -0.033264 -0.341251 0.272749 -0.899531 0.209906 0 0 0 1
-0.488774 0.769531 0.411001 0.013519 0.804997 0.579411 -0.127526 -0.032916 -0.336274 0.268523 -0.902671 0.209680 0 0 0 1
-0.487765 0.770171 0.411001 0.013195 0.805755 0.578356 -0.127526 -0.032583 -0.335922 0.268964 -0.902671 0.209491 0 0 0 1
-0.491702 0.772634 0.401579 0.012776 0.806647 0.577856 -0.124114 -0.032214 -0.327949 0.262905 -0.907375 0.209259 0 0 0 1
-0.495533 0.774396 0.393393 0.012368 0.808028 0.577146 -0.118292 -0.031820 -0.318650 0.259255 -0.911729 0.209036 0 0 0 1
-0.498700 0.776103 0.385956 0.011966 0.809237 0.576420 -0.113470 -0.031434 -0.310537 0.255743 -0.915512 0.208824 0 0 0 1
-0.510165 0.779890 0.362634 0.011403 0.811339 0.576304 -0.097998 -0.030942 -0.285415 0.244224 -0.926765 0.208543 0 0 0 1
-0.509162 0.780545 0.362634 0.011071 0.812079 0.575261 -0.097998 -0.030603 -0.285101 0.244590 -0.926765 0.208380 0 0 0 1
-0.517898 0.784085 0.342042 0.010531 0.813550 0.575043 -0.086382 -0.030147 -0.264420 0.233531 -0.935706 0.208134 0 0 0 1
-0.524890 0.786580 0.325242 0.010027 0.815163 0.574503 -0.073858 -0.029681 -0.244947 0.226358 -0.942742 0.207912 0 0 0 1
-0.527652 0.788087 0.317020 0.009607 0.816302 0.573674 -0.067447 -0.029276 -0.235021 0.223195 -0.946018 0.207733 0 0 0 1
-0.536268 0.792891 0.289380 0.008991 0.817026 0.573695 -0.057824 -0.028839 -0.211864 0.205422 -0.955466 0.207497 0 0 0 1
-0.535234 0.793589 0.289380 0.008650 0.817772 0.572630 -0.057824 -0.028497 -0.211596 0.205697 -0.955466 0.207361 0 0 0 1
-0.534603 0.794049 0.289286 0.008306 0.818726 0.571484 -0.055630 -0.028134 -0.209495 0.207106 -0.955625 0.207227 0 0 0 1
-0.534378 0.795754 0.284984 0.007919 0.819198 0.570642 -0.057297 -0.027808 -0.208218 0.202840 -0.956818 0.207086 0 0 0 1
-0.532311 0.796765 0.286026 0.007584 0.819628 0.569603 -0.061332 -0.027507 -0.211788 0.201787 -0.956257 0.206965 0 0 0 1
-0.530915 0.797899 0.285458 0.007232 0.820144 0.568578 -0.063901 -0.027190 -0.213291 0.200190 -0.956259 0.206843 0 0 0 1
-0.529485 0.799408 0.283888 0.006869 0.820457 0.567631 -0.068155 -0.026891 -0.215627 0.196831 -0.956432 0.206721 0 0 0 1
-0.528351 0.800158 0.283888 0.006521 0.821261 0.566467 -0.068155 -0.026549 -0.215348 0.197136 -0.956432 0.206602 0 0 0 1
-0.526998 0.801407 0.282876 0.006162 0.821753 0.565413 -0.070927 -0.026236 -0.216784 0.195076 -0.956530 0.206485 0 0 0 1
-0.525827 0.802177 0.282876 0.005813 0.822578 0.564211 -0.070927 -0.025895 -0.216498 0.195392 -0.956530 0.206369 0 0 0 1
-0.524015 0.805030 0.278092 0.005416 0.821969 0.563530 -0.082473 -0.025670 -0.223106 0.185366 -0.957007 0.206250 0 0 0 1
-0.525217 0.807982 0.267042 0.004956 0.822086 0.562824 -0.086047 -0.025365 -0.219822 0.174338 -0.959836 0.206108 0 0 0 1
-0.525242 0.810685 0.258670 0.004523 0.821961 0.562010 -0.092335 -0.025089 -0.220230 0.164118 -0.961543 0.205977 0 0 0 1
-0.525973 0.812726 0.250657 0.004094 0.822572 0.561012 -0.092951 -0.024756 -0.216165 0.157294 -0.963603 0.205842 0 0 0 1
-0.527294 0.816743 0.234291 0.003581 0.821721 0.560329 -0.103957 -0.024529 -0.216186 0.137706 -0.966592 0.205697 0 0 0 1
-0.529505 0.819766 0.218194 0.003071 0.822031 0.559362 -0.106675 -0.024219 -0.209498 0.122877 -0.970058 0.205547 0 0 0 1
-0.531210 0.823069 0.200929 0.002551 0.821675 0.558303 -0.114666 -0.023962 -0.206557 0.104187 -0.972872 0.205403 0 0 0 1
-0.530242 0.824162 0.198997 0.002183 0.822386 0.557039 -0.115712 -0.023636 -0.206215 0.102297 -0.973145 0.205284 0 0 0 1
-0.531687 0.827126 0.182131 0.001667 0.821953 0.555779 -0.124511 -0.023387 -0.204211 0.083503 -0.975359 0.205145 0 0 0 1
